수정된 항목
로스팅 버섯 강된장
불닭 곤약 고구마 밥
새우 라따뚜이 덮밥
소이짜장스크램블밥
숯불 소이 파프리카 덮밥
로스팅 버섯 강된장
불닭 곤약 고구마 밥
새우 라따뚜이 덮밥
소이짜장스크램블밥
숯불 소이 파프리카 덮밥
로스팅 버섯 강된장
베이컨 & 그릴드 베지 샐러드 M
보코치니 단호박 샐러드 M
불닭 곤약 고구마밥
새우 라따뚜이 덮밥
소이짜장스크램블밥
숯불 소이 불고기 유부 채 샐러드 M
숯불 소이 파프리카 덮밥
칠리 빈 닭 가슴살 소시지 샐러드 M
핫 닭 퐁듀 샐러드 M
로스팅 버섯 강된장
베이컨 & 그릴드 베지 샐러드 M
보코 치니 단호박 샐러드 M
불닭 곤약 고구마밥
새우 라따뚜이 덮밥
소이짜장스크램블밥
숯불 소이 불고기 유부 채 샐러드 M
숯불 소이 파프리카 덮밥
칠리 빈 닭 가슴살 소시지 샐러드 M
핫 닭 퐁듀 샐러드 M
로스팅 버섯 강된장
베이컨 & 그릴드 베지 샐러드 M
보코 치니 단호박 샐러드 M
불닭 곤약 고구마 밥
새우 라따뚜이 덮밥
소이짜장스크램블밥
숯불 소이 불고기 유부 채 샐러드 M
숯불 소이 파프리카 덮밥
칠리 빈 닭가슴살 소시지 샐러드 M
핫 닭 퐁듀 샐러드 M
두툼 떡갈비 정식
베이컨 & 그릴드 베지 샐러드 M
보코치니 단호박 샐러드 M
산나물 비빔밥
소 불고기 전골 정식
숯불 닭구이 정식
숯불 소이 불고기 유부 채 샐러드 M
칠리 빈 닭 가슴살 소시지 샐러드 M
큐브 스테이크 정식
핫 닭 퐁듀 샐러드 M
두툼 떡갈비 정식
베이컨 & 그릴드 베지 샐러드 M
보코치니 단호박 샐러드 M
산나물 비빔밥
소 불고기 전골 정식
숯불 닭구이 정식
숯불 소이 불고기 유부 채 샐러드 M
칠리 빈 닭 가슴살 소시지 샐러드 M
큐브 스테이크 정식
핫 닭 퐁듀 샐러드 M
두툼 떡갈비 정식
산나물 비빔밥
소 불고기 전골 정식
숯불 닭구이 정식
큐브 스테이크 정식
두툼 떡갈비 정식
산나물 비빔밥
소 불고기 전골 정식
숯불 닭구이 정식
큐브 스테이크 정식
부드러운 마파두부 세트
삼삼 소 불고기 세트
영양 수삼 찜닭 세트
중화풍 새우 오징어 볶음 세트
크림 아귀 구이 세트
광양식 소불고기 세트 _ 진밥
안동 식 찜닭 세트
영양 수삼 찜 닭 _ 진밥
오크라 표고 제육 불고기 세트
토마토 치즈 대구 필렛 세트 _ 진밥
광양식 소불고기 세트
안동 식 찜닭 세트
영양 수삼 찜 닭 세트
오크라 표고 제육 불고기 세트
토마토 치즈 대구 필렛 세트
로스팅 버섯 강된장
베이컨 & 그릴드 베지 샐러드 M
보코 치니 단호박 샐러드 M
불닭 곤약 고구마 밥
새우 라따뚜이 덮밥
소이짜장스크램블밥
숯불 소 이불 고기 유부 채 샐러드 M
숯불 소이 파프리카 덮밥
칠리 빈 닭 가슴살 소시지 샐러드 M
핫 닭 퐁듀 샐러드 M
로스팅 버섯 강된장
베이컨 & 그릴드 베지 샐러드 M
보코치니 단호박 샐러드 M
불닭 곤약 고구마 밥
새우 라따뚜이 덮밥
소이짜장스크램블밥
숯불 소이 불고기 유부 채 샐러드 M
숯불 소이 파프리카 덮밥
칠리 빈 닭 가슴살 소시지 샐러드 M
핫 닭 퐁듀 샐러드 M
베이컨 & 그릴드 베지 샐러드 M
보코 치니 단호박 샐러드 M
숯불 소이 불고기 유부 채 샐러드 M
칠리 빈 닭 가슴살 소시지 샐러드 M
핫 닭 퐁듀 샐러드 M
로스팅 버섯 강된장
베이컨 & 그릴드 베지 샐러드 M
보코 치니 단호박 샐러드 M
불닭 곤약 고구마밥
새우 라따뚜이 덮밥
소이짜장스크램블밥
숯불 소이 불고기 유부 채 샐러드 M
숯불 소이 파프리카 덮밥
칠리 빈 닭 가슴살 소시지 샐러드 M
핫닭 퐁듀 샐러드 M
두툼 떡갈비 정식
베이컨 & 그릴드 베지 샐러드 M
보코 치니 단호박 샐러드 M
산나물 비빔밥
소 불고기 전골 정식
숯불 닭구이 정식
숯불 소이 불고기 유부 채 샐러드 M
칠리 빈 닭 가슴살 소시지 샐러드 M
큐브 스테이크 정식
핫 닭 퐁듀 샐러드 M
두툼 떡갈비 정식
베이컨 & 그릴드 베지 샐러드 M
보코 치니 단호박 샐러드 M
산나물 비빔밥
소 불고기 전골 정식
숯불 닭구이 정식
숯불 소이 불고기 유부 채 샐러드 M
칠리 빈 닭 가슴살 소시지 샐러드 M
큐브 스테이크 정식
핫 닭 퐁듀 샐러드 M
베이컨 & 그릴드 베지 샐러드 M
보코 치니 단호박 샐러드 M
숯불 소이 불고기 유부 채 샐러드 M
칠리 빈 닭 가슴살 소시지 샐러드 M
핫 닭 퐁듀 샐러드 M
당근 라페 & 제주 불고기 두부 구이
비트 라페 & 단호박 오리구이
적채 라페 & 닭가슴살 고구마
칠리 빈 & 통 옥수수 닭가슴살 소세지
파프리카 라페 & 새우 뇨끼
